trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-68.25998900255038,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,0,-35.39724664838363,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.002, 'e': 0.7618542610898376}",25,0,-90.98050035557411,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
137,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,6,-3.372906377133342,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-60.89856100829182,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.7572968215143355}",25,0,-80.9076075455105,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
140,False,"{'a': 0.002, 'e': 0.7557837414557255}",20,0,-70.71828197224987,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
141,False,"{'a': 0.002, 'e': 0.754273684533089}",20,0,-53.19273288200404,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
142,False,"{'a': 0.002, 'e': 0.7527666447061963}",25,0,-108.36634239748199,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.002, 'e': 0.751262615946886}",25,0,-26.716080505299008,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,5,-47.926752867146185,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-89.04403885896397,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
146,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,6,-9.267416171038533,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
